Location,Area,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,No additional rooms,Prayer Rooms,Lounge or Sitting Room,Price
"Bahria Town, Lahore, Punjab",10 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR3.5 Crore
"Al Rehman Garden, Lahore, Punjab",4 Marla,4,3,1,1,1,2,1,0,0,0,0,1,0,PKR1.32 Crore
"Central Park Housing Scheme, Lahore, Punjab",5 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR1.74 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,0,0,0,PKR10.3 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,0,1,1,0,1,1,PKR8.25 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR15 Crore
"Kahna, Lahore, Punjab",4 Marla,4,4,1,0,1,2,1,0,0,0,0,0,0,PKR85 Lakh
"Kahna, Lahore, Punjab",5 Marla,3,2,1,0,1,1,1,0,1,0,0,0,0,PKR63 Lakh
"Askari, Lahore, Punjab",17 Marla,6,5,1,0,1,2,1,0,1,0,0,0,1,PKR8.9 Crore
"Valencia Housing Society, Lahore, Punjab",2 Kanal,6,6,1,1,0,0,1,0,1,1,0,1,1,PKR17 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR2.6 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,1,0,0,0,1,0,0,0,0,PKR11 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,4,1,0,0,2,1,0,1,0,0,1,1,PKR2.6 Crore
"DHA 11 Rahbar, Lahore, Punjab",5 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR1.95 Crore
"Wapda Town, Lahore, Punjab",10 Marla,5,5,0,0,0,0,0,0,0,0,0,0,0,PKR4 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,7,1,1,1,2,1,0,1,1,0,1,1,PKR13.5 Crore
"Garden Town, Lahore, Punjab",1 Kanal,5,4,1,0,1,1,1,0,0,0,0,0,0,PKR5.95 Crore
"Bahria Orchard, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR1.85 Crore
